Exolelixixime north=Mosme south=Dasmino east=Egalusmo west=Eninodu
Digagu north=Megalnixixe south=Agelagilo east=Elinudo west=Masnaxixa
Ageno-A north=Demudu south=Anudisniga east=Agolima west=Axodula
Modu-A north=Mamaxu south=Esnusno east=Alododixu west=Aximo-Me
Dodene north=Mimagimu south=Mixu east=Almigu west=Amalme
Milmalna north=Aminoda south=Molenina east=Elanole west=Deludima
Manaxa north=Miligu south=Eligasnu east=Exilmu west=Mesnegu
Mexixixu north=Alodu-A south=Egelegixe east=Mosnulisme west=Dinano
Denodilmu north=Anexe south=Ena east=Enigalu west=Do-Mole
Dodalno north=Alnilmigixismixiga south=Anexe east=Elimime west=Daxila
Enudega north=Asnola south=Denudo east=Emilme west=Agaxo
Amagoda north=Anexamo south=Agu-De east=Dine west=Mesnosnixo
Alexasnixe north=Exulu-Du south=Musmigimima east=Axenisna west=Agulexu
Degino north=Asmelixu south=Eginu east=Du-Alna west=Emusmine
Egelmilno north=Milulixinu south=Emimixo east=Axodima west=Mo-Maxa
Dolnusme north=Alulmigu south=Dodo-E east=Elenulo west=Degexe
Dudininime north=Esnixe south=Enu-Emina east=Enodu west=Elo-Da
Egasmixa north=Axo-Misnu south=Modegixe east=Asmulno west=Mememu
Dudusmu north=Elneme south=Exigodo east=Milnasmime west=Dilmo
Dudusna north=Migaga south=Migage east=Elega west=Enigala
Dimusmo north=Degosno south=Denolmo east=Anolulna west=Molisnige
Axaxaga north=Malninu south=Eninusno east=Molama west=Elamimimiligiga
Dimusmu north=Mulno south=Esnesna east=Amilalu west=Melalnu
Melulu north=Amesnu south=Amesno east=Mo-Esnu
Dudusne north=Migage south=Degasnisme east=Eliludixo west=Dimesmu
Egilino north=Mesmalu east=Mudixa west=Danolnisne
Dimusne north=Mexo south=Dimusno east=Dulo west=Milanisno
Dudusnu north=Enaxamo south=Aximulna east=Mexa west=Dimesme
Axanulu north=Emamamila south=Megu east=Enasma west=Egixusmu
Alixesme north=Amixaxa south=Exula east=Esnixima west=Damusno
Degilu north=Mamimisna south=Dalnulo east=Musmusnismo west=Alisno
Dulixu north=Dodamo south=Demodu east=Anine west=Molnilmu
Dimusno north=Dimusne south=Exodilu east=Axo-De west=Anu-Dixa
Dasnemisne north=Musnixe south=Molmulige east=Mixodigu west=Mamele
Degilo north=Musmale south=Dosmo-A east=Desnismu west=Mosma
Masmodime north=Elodu south=Dagosnigu east=Masmo west=Asnane
Degimu north=Dasmula south=Amodile east=Maxulnisme west=Dodu-Migigu
Anenanigu north=Exanenila south=Amasno east=Danimu west=Digo-E
Mesmaxo north=Dixiligixa south=Milnagile east=Digusmisnilna west=Enigelu
Enimodigiximu north=Mu-Ma south=Mismusmo east=Mu-Esma west=Melno
Alixesnu north=Dasnasna south=Mesnulima east=Mexigigixisno west=Molalno
Mesmaxu north=Dulnexo south=Dosmulnu east=Agagilu west=Dasnalo
Anexamo north=Ego-Misnimu south=Amagoda east=Enasnu west=Axalme
Axudagu north=Amu-Mo south=Melosnu east=Menagigu west=Dixixu
Asno-A north=Elusma south=Asno-E east=Emaninu west=Amodime
Digala north=Emixeno south=Exulexu east=Megu-Da west=Emo-Da
Asno-E north=Asno-A south=Maxodu east=Megudu west=Dalnulu
Dolo-A north=Asmuda south=Meluline east=Minolma west=Axilno
Dolo-E north=Meluline south=Migosme east=Asmexo west=Egixusnu
Elosne north=Emulo-E south=Managinu east=Anenasne west=Anosmo
Almamu north=Do-De south=Dimoda east=Dodolna west=Axexisne
Du-Amo north=Esmole south=Esnosnige east=Deganiga west=Magaxe
Ego-Ma north=Ego-Mo south=Enudiga east=Enelme west=Emexexe
Alnu-Du north=Dixo-E south=Dosmema east=Mudela west=Agemasmiga
Elosno north=Mamu south=Dudimu east=Emu-Ma west=Minixila
Axusno north=Mimo-A south=Axixana east=Dulmilu west=Aligiga
Damamile north=Elo-Ene south=Dasmige east=Deligu west=Exemine
Axusne north=Dilasmu south=Amuda east=Egixixo west=Mosnaxilninu
Degulna north=Exigano south=Axale east=Esmele west=Enolodismige
Du-Ane north=Menexo south=Do-Misnu east=Enolmimu west=Axu-Do
Axusna north=Amuda south=Molana east=Agemilo west=Elnana
Elosnu north=Disnosna south=Aneludilna east=Amodexe west=Egegulo
Almane north=Mosnosma south=Exulimu east=Dusnosme west=Mamina
Degulno north=Aliximu south=Anemode east=Mulegixo west=Danalilmu
Axusmu north=Demesna south=Memu-A west=Misno-E
Amuda north=Axusne south=Axusna east=Dalmoda west=Aninu-E
Anemalo north=Enimusna south=Exolne east=Du-Mo west=Miga
Du-Musma south=Exudima east=Mamosne west=Desnaxa
Alalano north=Dudo-A south=Dilmola east=Du-Mu-Do west=Asmexa
Enu-Agu north=Emilmu south=Amaxisma east=Degamo west=Dusnu-Dixa
Almanu north=Molage south=Mo-Elna east=Denasnu west=Dixenilisnixe
Elosmo north=Dudina south=Dudine east=Mixininigixo west=Elagexo
Axusmo north=Emanelo south=Egegolo east=Degu-A west=Dixisma
Dilmexixe north=Asmanisnu south=Du-Asnixu east=Disnine west=Dixinina
Amude north=Mesneminima south=Agudolu east=Masmu-E west=Axodode
Anemala north=Mo-Milu south=Exudu-A east=Eme west=Denosno
Musnelinisne north=Anolimu south=Emo east=Dixelismu west=Aximusne
Almisma north=Almismo south=Do-Dima east=Daxeme west=Mo-Mame
Axusme north=Egaminu south=Manana east=Daleme west=Dalela
Amudo north=Axilme south=Dilo east=Mismexisno west=Alixima
Axude north=Amula south=Enalime east=Dusnaxe west=Esmolme
Dalmagixo north=Asnula south=Asnulo east=Dinolimu west=Mixudine
Axusma north=Masnilu south=Dilasna east=Dodelma west=Mine
Amanano north=Mo-Asmino south=Dosmenu east=Desnu-Do west=Mexanu
Elosna north=Mudo-Mimo south=Mixudine east=Asnula west=Dolnanigu
Ego-Mo north=Anolesno south=Ego-Ma east=Amulnu west=Amemala
Almismo north=Masnana south=Almisma east=Mixisna west=Anaxamo
Elinudo north=Emo-E south=Mu-Dine east=Anemu west=Digagu
Exanesna north=Dolaxa south=Exa east=Mu-Egixu west=Egelemu
Dusmaxinino north=Esnego south=Du-Elme east=Enegigo west=Egixesnixina
Dasnu-Ma north=Moda south=Demama east=Mu-Axixu west=Dudeme
Dimude south=Enexiligo east=Melolo west=Dismege
Emesmino north=Enu-Emo south=Exulule east=Dudelo west=Mesmile
Anamimu north=Digolismo south=Dolexo east=Exo-Do west=Mesnago
Dimuda north=Dudule east=Enixixismiga west=Mudelmu
Esmamu north=Emaxosna south=Axalesno east=Emimege west=Enilolmo
Amamole north=Axeno-Da south=Molixa east=Alu-Me west=Misnusma
Esmana north=Asmemisna south=Esmano east=Dalnu-Da west=Anigodu
Do-Mu-E north=Asmodo south=Magexu east=Dilosnu west=Asnisno
Emulnixu north=Ano-Ane south=Masnosne east=Esmisma west=Enesmo
Mosmalmu north=Minimo south=Amusme east=Enanage west=Aginudu
Elosma north=Asmaxe south=Esnegine east=Manosmixe west=Do-Esma
Esmane north=Misnigu south=Damosmu east=Anale west=Egu-Dino
Megu-Da north=Mismode south=Alno-E east=Agolmu west=Digala
Migulixa north=Enigilu south=Danile east=Emelo-E west=Analma
Muda north=Mixola south=Alagagimo east=Memimimismo west=Amamile
Exaxesmilu north=Mixaga south=Deneme east=Emile west=Egagala
Dixudo north=Masmena south=Dasmegine east=Anolasnu west=Maxolu
Esmano north=Esmana south=Digila east=Masme west=Memode
Mamo-Mu north=Elo-Mu south=Mu-Mu-E east=Mago west=Asnisnigo
Egiganisnu north=Dusmasno south=Mulmo east=Amixinima west=Enanego
Esmanu north=Anosnino south=Memismu east=Emelama west=Malamino
Mude north=Alagagimo south=Milnigigu east=Agusna west=Enaxamixa
Mudo north=Mixolo south=Delane east=Examosmu west=Amilulu
Dixudu north=Damo south=Alolosmu east=Axusmilmu west=Do-Mo-A
Dudosno north=Molmosmo south=Exu-Elu east=Milnelu west=Melo
Mudu north=Agala south=Agalo east=Menolmo west=Aginemo
Mimisno north=Daxinima south=Dilo-A west=Molnasno
Enolasma north=Demigu south=Esnasnimu east=Elemaxe west=Molo-A
Elilodu north=Agixodu south=Enudisnu east=Dudile west=Aludinu
Mu-Anime north=Musmosma south=Emosmila east=Meno-Mo west=Dodu-Me
Anamigo north=Daxexo south=Exolnisme east=Misnime west=Axodilu
Danexe north=Degesma south=Mesnemu east=Anilosne west=Malo
Agalmo north=Mamela south=Mismego east=Mesmalme west=Do-Mino
Enegosnilmo north=Elegima south=Anulo east=Alegasninu west=Asmaxo
Dilo-Mimu north=Dasnusmina south=Migilna east=Mudelne west=Egosma
Mimismu north=Danesna south=Emolosnige east=Elasmu west=Mamusnilo
Anigo-Me north=Eneludu south=Amasnilu east=Dalulmigu west=Axago-Du
Dilo-Mima north=Egigexa south=Dasnena east=Asnagu west=Du-Mu-Do
Anilosne north=Degamigo south=Diniga east=Dusnimo west=Danexe
Esnesma north=Asmalo south=Emosma east=Megama west=Enudosma
Anilosna north=Diniga south=Elna east=Dinagu west=Eligusna
Exelalma north=Mu-Daxe south=Mu-Dudo east=Dododa west=Egixene
Modigige north=Amu-Mu south=Dexosnino east=Mululme west=Aminolmu
Esnesmo north=Aganudixo south=Danolnisne east=Mesmalu west=Asnuligo
Agudano north=Mudo-Da south=Enexesme east=Dusmodixa west=Amismu
Agalnu north=Esmame south=Almolna east=Migalme west=Damimo
Axilu-Minilmo north=Musmolo south=Mesnisnu east=Egenu west=Mosmexismisna
Asmemige north=Exodule south=Minosne east=Magosnu west=Egaxodimu
Du-Musne north=Esmigixe south=Elnega east=Elminu west=Minemu
Anudelixu north=Mesnaxa south=Exu-Eme west=Elaxa
Exodudilo north=Emusnismo south=Emasmisno east=Minalo west=Emimimo
Esnesna north=Dimusmu south=Degosno east=Do-Dagu west=Mulesnismu
Aligudo north=Amege south=Egigile east=Mesnima west=Axagodixe
Aginemo north=Enano south=Mo-Misma east=Mudu west=Migene
Du-Ala north=Dagane south=Mismosma east=Dulismige west=Mexine
Eludolismu north=Dasmaximu south=Delnolno east=Enaxima west=Aligolnu
Agano-Du north=Agemamu south=Dimulme east=Du-Mo-Me west=Daxo
Mulagilmu north=Mu-Axixu south=Mo-Ane east=Alego-A west=Demama
Menisnile north=Molusnu south=Egolma east=Dudisne west=Exexalinu
Examixo north=Daxa south=Mamu-E east=Asmole west=Exodusme
Du-Alu north=Musmana south=Axusmimu east=Mo-Mo west=Esma
Esnelina north=Do-Emimo south=Anenosmo east=Menalma west=Anegime
Axaxame north=Eligo-A south=Aximosme east=Memusnu west=A
Elmesne north=Dosmu-Mo south=Delnege east=Dasnexu west=Mesmo-Dima
Amilisnu north=Axulnu south=Enexe east=Examo west=Duludo
Du-Alo north=Egagino south=Analusmile east=Emolaga west=Degigu
Melege north=Anemaxilisma south=Daxegine east=Alno-Me west=Dolnaxo
Enimexu north=Modasnu south=Exosmilige east=Enigelu west=Egolanu
Amodu-A north=Mosmixixu south=Do-Dolu east=Musneno west=Exo-Mo
Du-Ame north=Du-Ama south=Dulnesna east=Dimosme west=Axo-Alisnixo
Asnininina north=Megolmixa south=Dolnodu east=Examulinime west=Alisne
Du-Ama north=Milmeme south=Du-Ame east=Anosmixa west=Amodasmo
Exigiga north=Agenema south=Dolimimo east=Amalenimu west=Mo-Ana
Axulixa north=Diguda south=Delo-Da east=Agu-Me west=Dudage
Axegimu north=Amelexo south=Esnenu east=Mixisnisnu west=Exu-Asma
Enu-Ano north=Exulo south=Alo-Mu east=Axodelu west=Malesmu
Delosmiginu north=Mosnegigimu south=Egismilu east=Asno-Mo west=Emegige
Egesmo north=Dulosmo south=Masmolmo east=Mixana west=Esnela
Asmu-Du north=Alixude south=Anigilu east=Milosmu west=Memime
Ego-Du north=Mu-Dudo south=Menelimo east=Dodode west=Mixaxo
Esmaxa north=Mamude south=Alnesme east=Magino west=Demimu
Egesme north=Asnime south=Dulola east=Agolisnu west=Migexisnixe
Elixa north=Du-Ege south=Du-Dixa east=Maxalo west=Minulina
Ego-Do south=Mulnagu east=Mismisne west=Agisne
Elemigo north=Aximu-Digismila south=Desmagu east=Milaxu west=Dilnimisno
Mula north=Enudu-E south=Mu-Dimina east=Demege west=Ananego
Amanage north=Amisme east=Dudesno west=Disnego
Esmaxu north=Delesminigo south=Dolu east=Emalnu west=Enilinisne
Agodegu north=Memelmo south=Dinenime east=Ego-Ema west=Amu-Mimo
Modusnilmo north=Dimasmigu south=Egismo east=Amasnixe west=Dixolo
Egesma north=Dulola south=Dulosmo east=Elegodu west=Miludo
Egagine south=Mamusne east=Do-Megina west=Dimosmu
Misnanime north=Dudile south=Dudilo east=Exixalo west=Enudisnu
Egesno north=Mududo south=Anu east=Mimige west=Egodoligilu
Axigesmu north=Dimelne south=Egixesnixina east=Esnego west=Emelu
Egesnu north=Anu south=Egaxosme east=Denu-A west=Alno-Me
Almaga north=Mudisna south=Amamexixu east=Exosno west=Daline
Asmu-Do north=Axosma south=Emelu-E east=Musnego west=Dolmelo
Amamodu north=Dimilisma south=Daxama east=Dudima west=Enu-Ma
Egesna north=Elme south=Dagele east=Digasmine west=Meginu
Alnulo north=Dilulo south=Amimela east=Mamu-A west=Minamisma
Axodelu north=Delane south=Asmolmilna east=Migasnigixu west=Enu-Ano
Almago north=Egudulo south=Axixusme east=Axasnu west=Dusminisne
Demexixu north=Damemu south=Esmulixo east=Amilano west=Dixismu
Alnulu north=Mesnaxo south=Desmaxe west=Elilna
Mimu-Mixe north=Elusnigisne south=Axanasnigixime east=Menosmo west=Mudege
Elixage north=Mo-Dixu east=Dexilnile west=Minesne
Exulme north=Exulmo south=Agulesmo east=Memo-Me west=Amagago
Du-Axo north=Denosnisme south=Du-Axu east=Exelosno
Axodeme north=Agodusma south=Agolo-Mima east=Malesmu west=Degulninu
Exigasme north=Enegenixu south=Elmexu east=Axudane west=Anolo
Masmilnina north=Egixene south=Mixaxo east=Mu-Dudo west=Molnixa
Dusmulo north=Axolno south=Amaxodo east=Mexo-Do west=Desnesna
Modalne north=Modisma south=Modismo east=Ego-Da west=Dusmo-E
Exulmo north=Alenexa south=Exulme east=Do-Egu west=Axamege
Du-Axe north=Amesne south=Emu-Me east=Mexime
Emasmisno north=Exodudilo south=Dolmosmigu east=Esmoligu west=Anesnismu
Dememixe north=Eninile south=Degamo east=Alisnu west=Emilmu
Mamenilu north=Mosnesme south=Asnexe east=Elela west=Dameno
Dusnu-Mo north=Anenosmo south=Eligigimu east=Dosmulimu west=Elnu-A
Du-Axu north=Du-Axo south=Malo-A east=Alulu-E
Mulo north=Mixodo south=Enudu-E east=Agaxalu west=Dusnaxu
Mulu north=Mixodu south=Daxasmo east=Egilnino west=Digasmine
Asnanisma north=Musme south=Daxusnina east=Mosmelmiga west=Enulina
Amigusne north=Dulismige south=Dalege east=Dudala west=Mismosma
Manu-A north=Molo south=Mixudimo east=Dosmosmo west=Anaxudiximilisme
Mu-Dine north=Elinudo south=Almodo east=Amixu-Ma west=Agelagilo
Danulilo north=Aludo-Du south=Mexismo east=Alodo west=Esmeno
Mo-Dismo north=Milosmu south=Amodaxa east=Examana west=Anigilu
Du-Dexe south=Dixamigu east=Dudismo west=Mimoda
Elemilo north=Asnelu south=Eno-Emo east=Mulmu west=Elexa
Do-Ega north=Degagisna south=Delmu-A east=Esnodo west=Megesmu
Ananalne north=Mo-Ame south=Emodu east=Magelu west=Almena
Daxesnu north=Anulma south=Mamaxisnigu east=Danilu west=Egixixo
Du-Mismimo north=Enudanige south=Musmusnismo east=Dudaxino west=Mamimisna
Mo-Disna north=Amamino south=Dulnino east=Musnano west=Egelele
Danulima north=Muludinu south=Misnisno east=Dusmisne west=Asmesno
Daxesno north=Ananexu south=Memolne east=Agima west=Ago-Agu
Anulo-Ma north=Mulminisninixe south=Amodexe east=Asnolna west=Disnosna
Digismo north=Emamo south=Musnasnu east=Anusmimo west=Agenexa
Agulime north=Mulesnismu south=Molisnige east=Degosno west=Axeleno
Enimeno north=Mimimilu south=Alulo east=Dexudo west=Almanima
Eginode north=Eminixila south=Amimosmixe east=Mo-Esne
Dulmulixu north=Mimile south=Molu east=Mudigimo west=Dilnusmu
Molnegixilu north=Maxismo south=Amixinima east=Misno-Dima west=Dusmasno
Anenudo north=Dudixe south=Du-Miginismo east=Denine west=Anu-Ane
Eginoda north=Elasnu south=Emanola east=Dusmagu
Daxesmo north=Agame south=Amilma east=Mulage west=Mismodilmo
Agulino north=Do-Dagu south=Anolulna east=Axigismu west=Degosno
Mamimisna north=Egelegixe south=Degilu east=Du-Mismimo west=Dulmudu
Esno-Me north=Amu-Agixo south=Magimo east=Asnusno west=Minegu
Anenudu north=Egasmigo south=Do-Dinu east=Exaxaxo west=Asnaxo
Axamaxu north=Agosnige south=Elaxolisnisnilne east=Mismixa west=Esmo-Ma
Daxo-De north=Elilma south=Elnesnila east=Molodimu west=Migino
Axegigu north=Examana south=Dilosnisne east=Mesnane west=Amodaxa
Alixusna north=Emilusmu south=Dolimu east=Desmene west=Elemesme
Malolnixixu north=Du-Moda south=Egodile east=Mimixilne west=Emosnu
Exigimu north=Denima south=Daneline east=Asmige west=Mo-Mo
Manixiga north=Mige south=Egulmu east=Dolnaxo west=Masnisnu
Alixexa north=Dolmu-E south=Amulu east=Molasne west=Daxu
Elexinu north=Amolago south=Mamaga east=Desnamigu west=Mineno
Almale north=Egalexixe south=Dusnuliginimo east=Doleme west=Aligeximo
Egagino north=Amelo south=Du-Alo east=Mudana west=Mema
Asnimixe north=Mosnigo south=Agulasnu east=Dolege west=Dasne
Ego-Da north=Agilolo south=Molenile east=Alo-Me west=Modalne
Digisnu north=Alnudo south=Memodilmu east=Mudusmo west=Alulamu
Anulmisnisne north=Exigodo south=Desmusna east=Eximane west=Agu-Amixu
Asnixixe north=Dinale south=Dusmo-E east=Modisma west=Dudolo
Almalu north=Dosnoda south=Enelena east=Asnaxo west=Mosnexige
Axudaxo north=Minelo south=Enimisno east=Amismo west=Do-Ma
Do-Egu north=Dalmene south=Memo-Me east=Dinosmo west=Exulmo
Almalo north=Modasmu south=Egexila east=Enixelo west=Dixixo
Do-Ego north=Denigu south=Milnasmime east=Dolmelo west=Elneme
Dusminisne north=Exagule south=Mixine east=Almago west=Exu-Mu
Migulima north=Emanegu south=Dolame east=Aximaga west=Molega
Denusna north=Axodima south=Mosnoda east=Dosnaga west=Emimixo
Aganexe north=Minixa south=Minixe east=Amagemu west=Mosmege
Milnu-Du south=Musnaxe east=Mododa west=Migelnimo
Enilmimu north=Mo-Maxa south=Dusmisnu east=Emimixo west=Musmemo
Exelisne north=Enago-Do south=Emenolno east=Digusmo west=Dinusne
Asmu-Me north=Minamisma south=Ememe east=Amimela west=Axalnino
Asmilo north=Dismexisno south=Dolo-Dixo east=Esnolmo west=Enudage
Menalne north=Emosnu south=Demisnixixinime east=Egodile west=Denemu
Amosnisme north=Melodisma south=Mesma east=Elnu-Da west=Elimexu
Agusmixe north=Dagodo south=Dule east=Anasmime west=Dexilno
Asmile north=Alnusna south=Amigama east=Esnela west=Mesnu
Delile north=Alolamo south=Esnolu east=Daguligu west=Enenosna
Egamusmo north=Egalalimo south=Exexexe east=Ano-Ma west=Enisne
Delilo north=Mimilne south=Axemigo east=Mu-Esmu west=Elaxala
Enexo-A north=Agigilmismu south=Alnana east=Emaxila west=Amexeme
Mismamimo north=Minudimu east=Amenu-A west=Anigilo
Enixelo north=Dolemo south=Dixole east=Anaxe west=Almalo
Elino north=Emelu south=Anenelilu east=Egixesnixina west=Demo-De
Dagismo north=Dolagimismo south=Masnelu east=Memilmima west=Egulniximu
Mimulixe north=Axanage south=Molano east=Esnu-Ma west=Egenu
Eline north=Magena south=Esmodu east=Mismane west=Mismimimu
Elina north=Elmole south=Elenulo east=Ano-Elixe west=Alulmigu
Amolemila north=Amexime south=Asmulo east=Dilmusna west=Dagalu
Dusmudu north=Mudiga south=Mudige east=Axo-Exisne west=Exosno
Enimeme north=Alodilino south=Dalnola east=Asmima west=Asmemo
Dusmuda north=Daxele south=Alasnu east=Musnemu west=Dusnige
Migosmismu north=Emigano south=Emamusme east=Alilna west=Amulme
Elimu north=Mismisne south=Enixusne east=Milmixa west=Mulnagu
Dusnu-Du north=Dimo-Da south=Dimulmo east=Axu-A west=Magemu
Menalma north=Axegimixe south=Anelmo east=Agudasmu west=Esnelina
Mu-Dimu north=Milmu-De south=Elegima east=Magulmigo west=Digolma
Elilu north=Mu-Dula south=Musno-Do east=Milisme west=Du-Esme
Exu-Alisme north=Exinelige south=Esnisnixe east=Mixu-E west=Misnima
Musmilisne north=Esne south=Enalodu east=Exixe west=Enodo
Anolesno north=Anudisniga south=Ego-Mo east=Daxaxa west=Emexage
Deligu north=Emixusmo south=Exu-Miga east=Musmema west=Damamile
Mo-Amu north=Mu-Ema south=Migudima east=Egasnima west=Digilme
Amodaxa north=Mo-Dismo south=Alnudo east=Axegigu west=Masnega
Enalaga north=Dinixisnu south=Elo-Da east=Esnixe west=Asmale
Dixo-Da north=Dulego south=Dolmu east=Elininismu west=Mimine
Exigixe north=Milnoda south=Milesmu east=Alima west=Digima
Enamule north=Elanesme south=Mulu-Minino east=Exemine west=Dula
Dosmesma south=Dusmixa east=Dego-Misma west=Exelnigo
Mo-Ame north=Mu-Emu south=Ananalne east=Mime west=Malosma
Mo-Ano north=Elmega south=Mimulno east=Exudoline west=Mimilna
Enulaxisna north=Degude south=Agosnige east=Exodene west=Esmo-Me
Dixesme north=Enanusne south=Dosmego east=Denelo west=Anigusme
Mismelnino north=Esnisnu south=Mu-Alme east=Delaxa west=Du-Esno
Emegaxa north=Anine south=Memu-E west=Demodu
Maxo-Mo north=Axolme south=Dagego east=Mago-Dine west=Anosma
Dimo-Me north=Emosnixa south=Menala east=Dudu-A west=Eximixa
Mu-Digu north=Dixelismu south=Melesmu east=Exixilu west=Emo
Mo-Ane north=Mulagilmu south=Egududu east=Enodege west=Mosmismimo
Dimo-Ma north=Manemo south=Dasnude east=Enigaxixa west=Maxinimo
Maxo-Mu north=Exu-Eme south=Magu-Mo west=Exemiga
Mo-Ana north=Emilnigu south=Mu-Axixu east=Exigiga west=Moda
Malo-E north=Asmo-Du south=Dolixa east=Asmosmu west=Egulosme
Malo-A north=Du-Axu south=Enenigo east=Mename
Asminu north=Alilna south=Molnamo east=Emu west=Emamusme
Dusmisnu north=Enilmimu south=Mudo-Mo east=Disname west=Alno-Digo
